Id,Transcription
1,P_IH_CH_T
2,D_IH_Z_AA_L_V_ER_Z
3,S_K_R_AO_N_IY
4,B_OW_N_AH_N_F_AH_N_T
5,IH_K_S_IY_D_Z
6,B_AA_R_T_N_IH_K_IY
7,B_Y_UW_T
8,K_AE_P_IH_T_Y_AH_L_EY_T
9,S_T_IY_M
10,IH_N_V_EH_S_T_AO_R_P
11,AA_R_N_EH_L
12,T_AO_R_CH_ER_Z
13,V_AA_L_AH_N_D
14,B_AO_R_TH
15,K_OW_AA_TH_ER_IH_NG
16,M_EY_P_AH_L
17,Y_UW_N_AH_L_AE_T_ER_AH_L_IY
18,OW_D_AA_N_AH_HH_Y_UW
19,EH_N_S_L_EY_V_D
20,P_ER_S_P_AY_R
21,AO_F_ER_Z
22,G_R_AE_S_IY
23,T_IY_AH_N
24,W_EH_N_T
25,G_R_OW_N_IH_NG
26,S_EH_N_T_R_AH_L_IH_S_T_S
27,D_IH_P_IH_N_T_OW
28,L_AY_K_AH_N_IH_NG
29,M_AA_M_B_AA_S_AH
30,L_UW_TH_IY
31,P_EY_ER
32,K_R_IH_S_T_M_AH_N_Z
33,IH_K_S_P_EH_K_T_EY_SH_AH_N_Z
34,G_AH_L_F_S
35,AA_P_S_AA_L
36,CH_EH_K
37,S_IH_B_AO_L_OW_S
38,N_EH_D_IH_K
39,OW_V_ER_IY_EY_T_IH_NG
40,K_UW_L_OW_M_B_IY
41,K_AA_R_D_OW_N_IY
42,R_AH_N_CH_IY
43,HH_EH_R
44,G_L_OW_T
45,R_IH_T_ER_N_IH_NG
46,R_IH_F_K_IH_N_Z
47,SH_L_IY_T_ER
48,L_EY_D_AH_N
49,R_AY_D_IH_NG_ER
50,S_T_R_AE_P_IH_NG
51,SH_R_AH_B_IY
52,P_R_IH_V_AY_T
53,JH_IH_NG_K_S
54,D_EH_K_M_AH_N
55,TH_ER_D_IY_Z
56,M_IH_S_B_AH_HH_EY_V_Z
57,EH_D_M_IH_S_AH_N
58,IH_L_IH_T_ER_AH_T
59,M_EH_T_S_N_ER
60,EH_R_OW_S_T_AE_T_S
61,S_IH_CH_UW_EY_T_IH_D
62,R_IH_S_IY_T
63,N_EH_N_IY
64,L_OY_AH_L
65,G_AA_JH_IH_L_AH
66,K_AA_NG_G_R_AH_G_AH_N_T
67,F_ER_B_IY
68,K_ER_K_M_AH_N
69,G_AY_D_Z
70,JH_AE_K_W_IY
71,B_IH_N_IH_NG
72,P_EH_L_OW_S_OW
73,B_AA_R_T_AH_L_S_T_IY_N
74,IH_L_IH_K_W_IH_D_AH_T_IY
75,HH_AY_T_S
76,K_R_UW_D_Z
77,S_T_EY_B_AH_L_S_T
78,HH_ER_EH_R_AH
79,AA_L_AA_G_N_AH
80,AE_NG_K_R_AH_M
81,AE_L_K_OW_Z
82,K_IH_N_Z_IY
83,M_AW_N_T_K_AE_S_T_AH_L
84,SH_M_AH_NG_K
85,P_L_AO_ER
86,D_ER_EH_K_T_ER_SH_IH_P
87,R_AA_B_UW_K_AH
88,D_IH_P_AA_R_T_M_EH_N_T_AH_L_AY_Z_IH_Z
89,N_AA_G_AH_L
90,W_IH_G_IH_NG_T_AH_N
91,M_AH_K_UW_N
92,R_OW_L_S_T_AH_N
93,B_L_AA_B_IY
94,HH_AE_B_IH_G_ER
95,K_L_AE_T_ER
96,S_T_R_AY_D
97,F_IH_R_EH_N_Z_AH_Z
98,N_AA_R_JH_AH_Z
99,P_AE_N_IH_K_T
100,B_ER_TH_IH_L_S_AH_N
101,B_R_EH_S_T_AH_D
102,T_AY_R_AE_N_IH_K_AH_L
103,L_AH_NG_F_IH_SH
104,JH_EH_L_IH_N_EH_K
105,EH_L_IH_TH_AO_R_P
106,T_R_AO_V_EY_K
107,S_AH_F_AY_S
108,R_IY_T_S_UW_T_OW
109,HH_AE_N_IH_F_AH_N
110,K_AH_L_OW_N_IY_AH
111,P_R_OW_B_Z
112,B_UH_L_Z
113,HH_UW_F_S
114,L_OW_D_IH_NG
